,1,2,3,4,5,6,7,8,9,10
1,1.0,0.6,0.15,0.89,0.64,0.35,0.15,0.2,0.24,0.14
2,0.6,1.0,0.37,0.54,0.36,0.26,0.31,0.31,0.39,0.26
3,0.15,0.37,1.0,0.22,0.35,0.4,0.39,0.49,0.67,0.3
4,0.89,0.54,0.22,1.0,0.63,0.52,0.24,0.28,0.36,0.24
5,0.64,0.36,0.35,0.63,1.0,0.42,0.3,0.36,0.45,0.27
6,0.35,0.26,0.4,0.52,0.42,1.0,0.53,0.53,0.52,0.47
7,0.15,0.31,0.39,0.24,0.3,0.53,1.0,0.86,0.67,0.93
8,0.2,0.31,0.49,0.28,0.36,0.53,0.86,1.0,0.67,0.85
9,0.24,0.39,0.67,0.36,0.45,0.52,0.67,0.67,1.0,0.57
10,0.14,0.26,0.3,0.24,0.27,0.47,0.93,0.85,0.57,1.0
